AGE,SEX,SCHOOL_AGED,SCHOOL_LEVEL,BURGERS_EATEN,RESTAURANTS_VISITED,CLASSIFICATION,STATE,COUNTY,COUNTY_CODE
49,FEMALE,False,NOT,7,9,1,VA,Charlottesville,51540
37,MALE,False,NOT,34,4,1,VA,Arlington,51013
52,FEMALE,False,NOT,20,19,1,VA,Brunswick,51025
23,FEMALE,False,CL,8,6,0,VA,Powhatan,51145
76,FEMALE,False,NOT,27,12,0,VA,Montgomery,51121
17,MALE,True,HS,4,3,1,VA,Richmond City,51760
65,MALE,False,NOT,16,6,1,VA,Falls Church,51610
27,MALE,False,NOT,52,4,0,VA,Mecklenburg,51117
31,FEMALE,False,NOT,24,24,1,VA,Fauquier,51061
56,MALE,False,NOT,40,1,1,VA,Goochland,51075
72,MALE,False,NOT,39,11,1,VA,Halifax,51083
13,MALE,True,MS,22,3,1,VA,Mecklenburg,51117
48,MALE,False,NOT,45,3,1,NC,Mecklenburg,37119
40,MALE,False,NOT,25,7,0,VA,Charlottesville,51540
19,FEMALE,True,CL,6,4,0,VA,Roanoke City,51770
50,FEMALE,False,NOT,21,10,1,VA,Prince William,51153
19,FEMALE,True,CL,97,2,1,MD,Baltimore,24005
42,MALE,False,NOT,10,9,0,VA,Wise,51195
26,FEMALE,False,NOT,92,1,1,VA,Goochland,51075
32,MALE,False,NOT,1,20,1,VA,Arlington,51013
34,FEMALE,False,NOT,4,9,1,VA,Arlington,51013
55,MALE,False,NOT,8,1,0,VA,Newport News,51700
20,MALE,True,CL,5,11,1,VA,Manassas,51683
44,FEMALE,False,NOT,53,2,1,VA,Rockingham,51165
29,FEMALE,False,NOT,3,5,0,MD,Prince Georges,24033
29,FEMALE,False,NOT,10,4,0,VA,Hanover,51085
49,FEMALE,False,NOT,45,11,1,VA,Rockingham,51165
28,MALE,False,NOT,30,6,0,VA,Russell,51167
29,MALE,False,NOT,22,4,0,MD,Prince Georges,24033
40,MALE,False,NOT,19,4,1,VA,Loudoun,51107
17,FEMALE,True,HS,43,12,0,VA,Charlottesville,51540
30,MALE,False,NOT,5,11,1,VA,Halifax,51083
44,MALE,False,NOT,9,1,1,VA,Richmond City,51760
7,MALE,True,ES,36,3,0,VA,Mecklenburg,51117
16,MALE,True,HS,10,25,1,VA,Henrico,51087
30,FEMALE,False,NOT,25,9,0,VA,Powhatan,51145
46,FEMALE,False,NOT,17,11,1,VA,Portsmouth,51740
81,FEMALE,False,NOT,12,5,1,VA,Tazewell,51185
27,FEMALE,False,NOT,21,14,1,VA,Washington,51191
11,MALE,True,MS,1,6,0,VA,Roanoke,51161
10,MALE,True,ES,35,4,1,VA,Chesterfield,51041
28,FEMALE,False,NOT,34,7,1,VA,Charlottesville,51540
72,FEMALE,False,NOT,70,9,1,VA,Newport News,51700
10,FEMALE,True,ES,8,24,0,VA,Alexandria,51510
32,MALE,False,NOT,61,9,1,VA,Brunswick,51025
43,FEMALE,False,NOT,8,2,1,VA,Wise,51195
23,MALE,False,CL,46,4,1,VA,Tazewell,51185
55,MALE,False,NOT,5,1,0,MD,Baltimore,24005
60,FEMALE,False,NOT,10,10,1,VA,Brunswick,51025
14,FEMALE,True,HS,11,3,0,VA,Frederick,51069
48,FEMALE,False,NOT,26,2,1,VA,Washington,51191
45,FEMALE,False,NOT,32,3,1,VA,Russell,51167
32,FEMALE,False,NOT,29,6,0,VA,Pulaski,51155
22,FEMALE,True,CL,25,2,0,VA,Goochland,51075
63,MALE,False,NOT,31,5,1,VA,Brunswick,51025
15,FEMALE,True,HS,32,25,1,VA,Bedford,51019
25,FEMALE,False,NOT,74,8,1,VA,Montgomery,51121
48,MALE,False,NOT,12,2,0,VA,Fairfax,51059
47,MALE,False,NOT,62,15,1,NC,Mecklenburg,37119
63,MALE,False,NOT,35,10,1,VA,Mecklenburg,51117
20,FEMALE,True,CL,16,14,1,VA,Halifax,51083
59,MALE,False,NOT,13,4,0,VA,Lynchburg,51680
42,MALE,False,NOT,42,11,1,VA,Portsmouth,51740
40,FEMALE,False,NOT,9,4,1,VA,Chesapeake,51550
34,FEMALE,False,NOT,37,3,0,VA,Powhatan,51145
62,MALE,False,NOT,13,10,0,VA,Montgomery,51121
13,FEMALE,True,MS,44,7,0,MD,Howard,24027
10,FEMALE,True,ES,11,6,0,VA,Roanoke,51161
67,FEMALE,False,NOT,19,3,1,VA,Brunswick,51025
49,MALE,False,NOT,14,8,1,VA,Wythe,51197
64,FEMALE,False,NOT,71,9,1,VA,Alexandria,51510
54,FEMALE,False,NOT,91,7,1,NC,Mecklenburg,37119
29,MALE,False,NOT,15,3,0,VA,Albemarle,51003
60,MALE,False,NOT,31,1,0,NC,Mecklenburg,37119
46,MALE,False,NOT,24,5,1,VA,Roanoke,51161
28,MALE,False,NOT,13,2,0,MD,Howard,24027
38,FEMALE,False,NOT,8,25,1,VA,Wise,51195
20,FEMALE,True,CL,7,4,0,VA,Wythe,51197
96,FEMALE,False,NOT,10,11,0,VA,Hanover,51085
9,FEMALE,True,ES,15,1,0,VA,Washington,51191
6,FEMALE,True,ES,18,10,1,MD,Baltimore,24005
23,FEMALE,False,CL,1,10,0,VA,Prince William,51153
45,FEMALE,False,NOT,51,8,1,VA,Pulaski,51155
16,MALE,True,HS,65,11,0,VA,Roanoke,51161
17,FEMALE,True,HS,74,6,1,VA,Loudoun,51107
44,FEMALE,False,NOT,4,5,0,VA,Augusta,51015
35,MALE,False,NOT,19,8,1,VA,Fairfax,51059
40,FEMALE,False,NOT,55,6,1,VA,Fairfax,51059
57,MALE,False,NOT,1,4,0,VA,Tazewell,51185
28,MALE,False,NOT,6,2,0,VA,Fauquier,51061
33,FEMALE,False,NOT,45,10,1,VA,Montgomery,51121
25,MALE,False,NOT,17,12,1,VA,Halifax,51083
35,FEMALE,False,NOT,20,3,0,NC,Mecklenburg,37119
34,MALE,False,NOT,11,9,0,VA,Frederick,51069
49,MALE,False,NOT,30,5,1,VA,Brunswick,51025
54,FEMALE,False,NOT,27,6,1,VA,Richmond City,51760
52,FEMALE,False,NOT,7,3,0,VA,Richmond City,51760
14,MALE,True,HS,60,3,1,VA,Brunswick,51025
30,MALE,False,NOT,1,15,0,VA,Wise,51195
25,FEMALE,False,NOT,33,2,0,VA,Frederick,51069
35,FEMALE,False,NOT,27,16,1,VA,Newport News,51700
68,MALE,False,NOT,76,8,1,VA,Wise,51195
20,FEMALE,True,CL,15,3,0,VA,Alexandria,51510
24,MALE,False,NOT,12,15,0,VA,Powhatan,51145
35,FEMALE,False,NOT,54,1,1,VA,Augusta,51015
29,FEMALE,False,NOT,10,8,0,VA,Hampton,51650
24,MALE,False,NOT,6,4,0,VA,Henrico,51087
42,FEMALE,False,NOT,48,1,1,VA,Alexandria,51510
38,MALE,False,NOT,46,5,1,VA,Campbell,51031
23,MALE,False,CL,38,10,1,VA,Newport News,51700
9,MALE,True,ES,9,2,0,VA,Hampton,51650
63,MALE,False,NOT,58,17,1,VA,Henrico,51087
24,FEMALE,False,NOT,26,16,0,VA,Halifax,51083
78,FEMALE,False,NOT,26,24,1,VA,Rockingham,51165
69,MALE,False,NOT,94,3,1,NC,Forsyth,37067
51,FEMALE,False,NOT,5,11,0,VA,Brunswick,51025
16,FEMALE,True,HS,44,3,0,VA,Newport News,51700
22,FEMALE,True,CL,81,5,0,NC,Mecklenburg,37119
37,FEMALE,False,NOT,6,19,1,VA,Portsmouth,51740
23,FEMALE,False,CL,31,3,0,VA,Tazewell,51185
33,FEMALE,False,NOT,10,13,1,VA,Brunswick,51025
6,MALE,True,ES,37,1,1,VA,Wise,51195
61,FEMALE,False,NOT,34,13,1,VA,Fauquier,51061
47,FEMALE,False,NOT,43,13,1,VA,Norfolk,51710
32,MALE,False,NOT,10,1,1,VA,Henrico,51087
83,MALE,False,NOT,31,4,1,VA,Tazewell,51185
25,MALE,False,NOT,45,14,0,VA,Charlottesville,51540
82,FEMALE,False,NOT,13,5,0,VA,Fauquier,51061
10,MALE,True,ES,33,1,0,VA,Loudoun,51107
6,MALE,True,ES,17,5,0,VA,Portsmouth,51740
60,FEMALE,False,NOT,56,16,1,VA,Chesterfield,51041
25,MALE,False,NOT,4,2,0,VA,Manassas,51683
40,FEMALE,False,NOT,30,3,1,VA,Wythe,51197
53,FEMALE,False,NOT,71,14,1,NC,Wake,37183
67,FEMALE,False,NOT,18,5,0,VA,Lynchburg,51680
23,FEMALE,False,CL,3,14,1,VA,Bedford,51019
39,FEMALE,False,NOT,29,18,1,VA,Montgomery,51121
36,FEMALE,False,NOT,69,2,0,VA,Wise,51195
6,FEMALE,True,ES,22,5,0,VA,Washington,51191
44,FEMALE,False,NOT,24,8,1,VA,Bedford,51019
52,MALE,False,NOT,3,4,1,VA,Powhatan,51145
47,MALE,False,NOT,55,11,1,VA,Chesterfield,51041
43,FEMALE,False,NOT,19,6,1,VA,Hampton,51650
52,FEMALE,False,NOT,54,1,1,MD,Anne Arundel,24003
54,FEMALE,False,NOT,46,2,0,VA,Arlington,51013
